team_id,season,affiliate_league,affiliate,league,team_name,classification,category,location_id,city,state,country,lat,long
2016_Midwest_Dayton,2017,NL,CIN,Midwest,Dayton,A,MiLB,Dayton_OH_US,Dayton,OH,US,39.758948,-84.191607
2016_Midwest_LakeCounty,2017,AL,CLE,Midwest,Lake County,A,MiLB,Eastlake_OH_US,Eastlake,OH,US,41.659241,-81.432209
2016_Northwest_Spokane,2017,AL,TEX,Northwest,Spokane,A-,MiLB,Spokane_WA_US,Spokane,WA,US,47.65886,-117.424713
2016_Texas_Springfield,2017,NL,STL,Texas,Springfield,AA,MiLB,Springfield_MO_US,Springfield,MO,US,37.215331,-93.298252
2016_International_Toledo,2017,AL,DET,International,Toledo,AAA,MiLB,Toledo_OH_US,Toledo,OH,US,41.678675,-83.512728
2016_PacificCoast_OklahomaCity,2017,NL,LAD,Pacific Coast,Oklahoma City,AAA,MiLB,OklahomaCity_OK_US,Oklahoma City,OK,US,35.472989,-97.517054
2016_Texas_Tulsa,2017,NL,LAD,Texas,Tulsa,AA,MiLB,Tulsa_OK_US,Tulsa,OK,US,36.155681,-95.992911
2016_Eastern_Portland,2017,AL,BOS,Eastern,Portland,AA,MiLB,Portland_OR_US,Portland,OR,US,45.520247,-122.674195
2016_International_Syracuse,2017,NL,WSH,International,Syracuse,AAA,MiLB,Syracuse_NY_US,Syracuse,NY,US,43.048122,-76.147424
2016_Eastern_Hartford,2017,NL,COL,Eastern,Hartford,AA,MiLB,Hartford_PA_US,Hartford,PA,US,31.1024,-85.696878
2016_International_Scranton/Wilkes-Barre,2017,AL,NYY,International,Scranton/Wilkes-Barre,AAA,MiLB,Moosic_PA_US,Moosic,PA,US,41.353413,-75.738248
2016_NewYork-Pennsylvania_Williamsport,2017,NL,PHI,New York-Pennsylvania,Williamsport,A-,MiLB,Williamsport_PA_US,Williamsport,PA,US,41.249329,-77.002767
2016_Eastern_Altoona,2017,NL,PIT,Eastern,Altoona,AA,MiLB,Altoona_PA_US,Altoona,PA,US,40.518681,-78.394736
2016_NewYork-Pennsylvania_StateCollege,2017,NL,STL,New York-Pennsylvania,State College,A-,MiLB,StateCollege_PA_US,State College,PA,US,40.794026,-77.860697
2016_International_Pawtucket,2017,AL,BOS,International,Pawtucket,AAA,MiLB,Pawtucket_RI_US,Pawtucket,RI,US,41.878711,-71.382556
2016_Carolina_MyrtleBeach,2017,NL,CHC,Carolina,Myrtle Beach,A+,MiLB,MyrtleBeach_SC_US,Myrtle Beach,SC,US,33.695646,-78.890041
2016_SouthAtlantic_Charleston,2017,AL,NYY,South Atlantic,Charleston,A,MiLB,Charleston_SC_US,Charleston,SC,US,32.787601,-79.940273
2016_Southern_Tennessee,2017,NL,CHC,Southern,Tennessee,AA,MiLB,Knoxville_TN_US,Knoxville,TN,US,35.960395,-83.921026
2016_Southern_Chattanooga,2017,AL,MIN,Southern,Chattanooga,AA,MiLB,Chattanooga_TN_US,Chattanooga,TN,US,35.04563,-85.30968
2016_Appalachian_Elizabethton,2017,AL,MIN,Appalachian,Elizabethton,Rk,MiLB,Elizabethton_TN_US,Elizabethton,TN,US,36.34872,-82.210688
2016_Appalachian_Kingsport,2017,NL,NYM,Appalachian,Kingsport,Rk,MiLB,Kingsport_TN_US,Kingsport,TN,US,36.548434,-82.561819
2016_Appalachian_JohnsonCity,2017,NL,STL,Appalachian,Johnson City,Rk,MiLB,JohnsonCity_TN_US,Johnson City,TN,US,36.31344,-82.353473
2016_Northwest_Vancouver,2017,AL,TOR,Northwest,Vancouver,A-,MiLB,Vancouver_BC_CA,Vancouver,BC,CA,49.260894,-123.113938
2016_Texas_CorpusChristi,2017,AL,HOU,Texas,Corpus Christi,AA,MiLB,CorpusChristi_TX_US,Corpus Christi,TX,US,27.800254,-97.395574
2016_California_Visalia,2017,NL,ARI,California,Visalia,A+,MiLB,Visalia_CA_US,Visalia,CA,US,36.330228,-119.292058
2016_Texas_SanAntonio,2017,NL,SD,Texas,San Antonio,AA,MiLB,SanAntonio_TX_US,San Antonio,TX,US,29.4246,-98.49514
